City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Arrecife,ES,77.0,few clouds,28.96,-13.55,Hotel Lancelot
6,San Policarpo,PH,79.83,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
7,Hilo,US,75.2,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
17,Atuona,PF,79.07,light rain,-9.8,-139.03,Villa Enata
18,Amahai,ID,77.72,overcast clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
25,Mangan,IN,76.77,overcast clouds,27.52,88.53,Hotel Mout View
45,Maragogi,BR,76.75,scattered clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
59,Kribi,CM,75.56,light rain,2.95,9.92,Les Vagues bleues
60,Hami,CN,76.28,clear sky,42.8,93.45,Laoyutang Resort
69,Grafton,US,77.0,clear sky,42.21,-71.69,The Grafton Inn
70,Hithadhoo,MV,77.56,heavy intensity rain,-0.6,73.08,Scoop Guest House
105,Belmonte,BR,78.8,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
107,Kahului,US,78.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
122,Praya,CV,75.2,broken clouds,14.92,-23.51,LT Aparthotel
127,Marsa Matruh,EG,78.31,clear sky,31.35,27.25,Beau Site
137,Acari,PE,75.07,scattered clouds,-15.43,-74.62,Hospedaje Ximens
138,Jinxiang,CN,79.16,scattered clouds,22.86,115.7,Haiyun Holiday Hotel
139,Tandur,IN,78.8,broken clouds,17.23,77.58,SPOT ON 63149 Swagath Residency
145,Faanui,PF,77.9,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
148,Bahia De Caraquez,EC,77.0,overcast clouds,-0.6,-80.42,La Piedra Hotel
157,Makakilo City,US,78.8,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
159,Santa Cruz Cabralia,BR,78.8,scattered clouds,-16.28,-39.02,Portobali Hotel
160,Sumenep,ID,79.11,few clouds,-7.02,113.87,OYO 3271 Homestay Pandian
164,Harper,LR,76.37,broken clouds,4.38,-7.72,Screensaver
167,Ciampea,ID,79.0,broken clouds,-6.55,106.7,Wisma BPI
171,Kalamb,IN,78.62,overcast clouds,19.05,73.95,Hotel Ravikiran
177,Bethel,US,75.99,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
184,Bubaque,GW,76.6,light rain,11.28,-15.83,Casa Dora
189,Depalpur,IN,75.54,clear sky,22.85,75.55,Nakshatra City
195,Hasaki,JP,77.0,thunderstorm,35.73,140.83,Inubosaki Kanko Hotel
200,Banjar,ID,78.8,few clouds,-8.19,114.97,The Hamsa Resort
204,Honavar,IN,79.63,scattered clouds,14.28,74.45,Hotel Sagar Residency
205,Namatanai,PG,79.39,scattered clouds,-3.67,152.43,Namatanai Hotel
213,Ribeira Grande,PT,75.2,few clouds,38.52,-28.7,Quinta da Meia Eira
217,Torbay,CA,79.0,overcast clouds,47.67,-52.73,Gallows Cove
220,Finschhafen,PG,78.08,overcast clouds,-6.6,147.87,Cossam Guest House
222,Dingle,PH,77.16,overcast clouds,11.0,122.67,Camp Pasica
242,Quepos,CR,77.0,broken clouds,9.42,-84.17,Jungle Beach Hotel at Manuel Antonio
250,Marang,MY,78.8,few clouds,5.21,103.21,DBarakah Homestay
254,Rock Springs,US,75.2,clear sky,41.59,-109.2,Homewood Suites by Hilton Rock Springs
